THE	BY	HASBEEN	INTO	ONTO	AGT	AGTFOC	BENREC	BENFOC	CAUSAGT	CAUSAGTFOC	COM	COMFOC	EXP	EXPFOC	PAT	PATFOC	PRED	PREDFOC	THM	TID_ON	TID_AT	TID_IN	TID_BY	TID_UNTIL	TID_FREQ	TID_DUR	TID_PT	EXT	EXT_CAUS	LOC_AT	LOC_IN	LOC_ON	LOC	LOCFOC	ACT	ACT_LOC	ACT_CAUS	STAT	ERG	STAT_BODY	STAT_THAT	STAT_TO	STAT_BEN	STAT_CAUS_BENFOC	STAT_CAUS	BEN_STAT_CAUS	PRED_STAT_CAUS	STAT_COM	COMPLEX_CAUS	STAT_EXP	STAT_CAUS_EXP	FINSTAT_CAUS	FINSTAT_PRED_DESC	FINSTAT_AGT	FINSTAT_THM_DESC	FINSTAT_EXP
the	-(e)d by	has been V+ing;	into	onto	7otter	7otter is what	7otter	7otter is what	7otter	7otter is what	7otter	7otter is what	7otter	7otter is what	7otter	7otter is what is	7otter	7otter is what	7celery												5harbor														7uncoils +THM;										scrolled	
the	-(e)d by	has been V+ing;	into	onto	7outcast	7outcast is (the one) who	7outcast	7outcast is (the one) who is	7outcast	7outcast is who	7outcast	7outcast is who	7outcast	7outcast is who	7outcast	7outcast is (the one) who is	7outcast	7outcast is who	7cellar												5harbour														7understates +THM;										scrolling	
the	-(e)d by	has been V+ing;	into	onto	7outfielder	7outfielder is (the one) who	7outfielder	7outfielder is (the one) who is	7outfielder	7outfielder is who	7outfielder	7outfielder is who	7outfielder	7outfielder is who	7outfielder	7outfielder is (the one) who is	7outfielder	7outfielder is who	7cello												5holy of holies														7underwrites +THM;										secured	
the	-(e)d by	has been V+ing;	into	onto	7outrider	7outrider is (the one) who	7outrider	7outrider is (the one) who is	7outrider	7outrider is who	7outrider	7outrider is who	7outrider	7outrider is who	7outrider	7outrider is (the one) who is	7outrider	7outrider is who	7cellulite												5hospice														7unzips +THM;										self-imposed	
the	-(e)d by	has been V+ing;	into	onto	7overeater	7overeater is (the one) who	7overeater	7overeater is (the one) who is	7overeater	7overeater is who	7overeater	7overeater is who	7overeater	7overeater is who	7overeater	7overeater is (the one) who is	7overeater	7overeater is who	7celluloid												5hospices														7updates +THM;										self-reliant	
the	-(e)d by	has been V+ing;	into	onto	7overlord	7overlord is (the one) who	7overlord	7overlord is (the one) who is	7overlord	7overlord is who	7overlord	7overlord is who	7overlord	7overlord is who	7overlord	7overlord is (the one) who is	7overlord	7overlord is who	7cellulose												5house of lords														7vacuums +THM;										senseless	
the	-(e)d by	has been V+ing;	into	onto	7overseer	7overseer is (the one) who	7overseer	7overseer is (the one) who is	7overseer	7overseer is who	7overseer	7overseer is who	7overseer	7overseer is who	7overseer	7overseer is (the one) who is	7overseer	7overseer is who	7celsius												5in ... melting pot														7vaporizes +THM;										shaggy	
the	-(e)d by	has been V+ing;	into	onto	7oyster	7oyster is what	7oyster	7oyster is what	7oyster	7oyster is what	7oyster	7oyster is what	7oyster	7oyster is what	7oyster	7oyster is what is	7oyster	7oyster is what	7censorship												5in ... neighborhood of														7vibrates +THM;										shuttered	
the	-(e)d by	has been V+ing;	into	onto	7panther	7panther is (the one) who	7panther	7panther is (the one) who is	7panther	7panther is who	7panther	7panther is who	7panther	7panther is who	7panther	7panther is (the one) who is	7panther	7panther is who	7centennial												5in ... neighbourhood of														7volleys +THM;										slammed	
the	-(e)d by	has been V+ing;	into	onto	7participant	7participant is (the one) who	7participant	7participant is (the one) who is	7participant	7participant is who	7participant	7participant is who	7participant	7participant is who	7participant	7participant is (the one) who is	7participant	7participant is who	7center of gravity												5inn														7waffles on about +THM;										slanted	
the	-(e)d by	has been V+ing;	into	onto	7partridge	7partridge is (the one) who	7partridge	7partridge is (the one) who is	7partridge	7partridge is who	7partridge	7partridge is who	7partridge	7partridge is who	7partridge	7partridge is (the one) who is	7partridge	7partridge is who	7centiliters												5kangaroo court														7waffles over +THM;										slapped	
the	-(e)d by	has been V+ing;	into	onto	7pathogen	7pathogen is what	7pathogen	7pathogen is what	7pathogen	7pathogen is what	7pathogen	7pathogen is what	7pathogen	7pathogen is what	7pathogen	7pathogen is what is	7pathogen	7pathogen is what	7centralism												5lobby														7whacks +THM;										sleeveless	
the	-(e)d by	has been V+ing;	into	onto	7pathologist	7pathologist is (the one) who	7pathologist	7pathologist is (the one) who is	7pathologist	7pathologist is who	7pathologist	7pathologist is who	7pathologist	7pathologist is who	7pathologist	7pathologist is (the one) who is	7pathologist	7pathologist is who	7centralist												5lookout														7whines about +THM;										sloppy	
the	-(e)d by	has been V+ing;	into	onto	7patriarch	7patriarch is (the one) who	7patriarch	7patriarch is (the one) who is	7patriarch	7patriarch is who	7patriarch	7patriarch is who	7patriarch	7patriarch is who	7patriarch	7patriarch is (the one) who is	7patriarch	7patriarch is who	7centrality												5lore														7whirls +THM;										snatched	
the	-(e)d by	has been V+ing;	into	onto	7patriot	7patriot is (the one) who	7patriot	7patriot is (the one) who is	7patriot	7patriot is who	7patriot	7patriot is who	7patriot	7patriot is who	7patriot	7patriot is (the one) who is	7patriot	7patriot is who	7centralization												5lorry														7whitens +THM;&CAUS										snipped	
the	-(e)d by	has been V+ing;	into	onto	7patron	7patron is (the one) who	7patron	7patron is (the one) who is	7patron	7patron is who	7patron	7patron is who	7patron	7patron is who	7patron	7patron is (the one) who is	7patron	7patron is who	7cerebral palsy												5luggage														7witters about +THM;										snooped	
the	-(e)d by	has been V+ing;	into	onto	7peasant	7peasant is (the one) who	7peasant	7peasant is (the one) who is	7peasant	7peasant is who	7peasant	7peasant is who	7peasant	7peasant is who	7peasant	7peasant is (the one) who is	7peasant	7peasant is who	7ceremonials												5lullaby														7witters on about +THM;										snubbed	
the	-(e)d by	has been V+ing;	into	onto	7peddler	7peddler is (the one) who	7peddler	7peddler is (the one) who is	7peddler	7peddler is who	7peddler	7peddler is who	7peddler	7peddler is who	7peddler	7peddler is (the one) who is	7peddler	7peddler is who	7cert												5lung														7wrings out +THM;										snuggled	
the	-(e)d by	has been V+ing;	into	onto	7perpetrator	7perpetrator is (the one) who	7perpetrator	7perpetrator is (the one) who is	7perpetrator	7perpetrator is who	7perpetrator	7perpetrator is who	7perpetrator	7perpetrator is who	7perpetrator	7perpetrator is (the one) who is	7perpetrator	7perpetrator is who	7cert.												5majority														7yields up										softcore	
the	-(e)d by	has been V+ing;	into	onto	7personal organizer	7personal organizer is (the one) who	7personal organizer	7personal organizer is (the one) who is	7personal organizer	7personal organizer is who	7personal organizer	7personal organizer is who	7personal organizer	7personal organizer is who	7personal organizer	7personal organizer is (the one) who is	7personal organizer	7personal organizer is who	7chalet												5Mays														7pinions +PAT;										softened	
the	-(e)d by	has been V+ing;	into	onto	7plagiarizer	7plagiarizer is (the one) who	7plagiarizer	7plagiarizer is (the one) who is	7plagiarizer	7plagiarizer is who	7plagiarizer	7plagiarizer is who	7plagiarizer	7plagiarizer is who	7plagiarizer	7plagiarizer is (the one) who is	7plagiarizer	7plagiarizer is who	7chalice												5medium term														7hauls +PAT; over the coals										soggy	
the	-(e)d by	has been V+ing;	into	onto	7plodder	7plodder is (the one) who	7plodder	7plodder is (the one) who is	7plodder	7plodder is who	7plodder	7plodder is who	7plodder	7plodder is who	7plodder	7plodder is (the one) who is	7plodder	7plodder is who	7chandelier												5melting pot														7fobs +PAT; off										solemn	
the	-(e)d by	has been V+ing;	into	onto	7plunger	7plunger is (the one) who	7plunger	7plunger is (the one) who is	7plunger	7plunger is who	7plunger	7plunger is who	7plunger	7plunger is who	7plunger	7plunger is (the one) who is	7plunger	7plunger is who	7chant												5mental hospital														7corrupts +PAT;										solitary	
the	-(e)d by	has been V+ing;	into	onto	7poodle	7poodle is (the one) who	7poodle	7poodle is (the one) who is	7poodle	7poodle is who	7poodle	7poodle is who	7poodle	7poodle is who	7poodle	7poodle is (the one) who is	7poodle	7poodle is who	7chaps												5merchant bank														7disqualifies +PAT;										sowed	
the	-(e)d by	has been V+ing;	into	onto	7post modernist	7post modernist is (the one) who	7post modernist	7post modernist is (the one) who is	7post modernist	7post modernist is who	7post modernist	7post modernist is who	7post modernist	7post modernist is who	7post modernist	7post modernist is (the one) who is	7post modernist	7post modernist is who	7chaps.												5mill														7slaps +PAT;										spilt out	
the	-(e)d by	has been V+ing;	into	onto	7potter	7potter is (the one) who	7potter	7potter is (the one) who is	7potter	7potter is who	7potter	7potter is who	7potter	7potter is who	7potter	7potter is (the one) who is	7potter	7potter is who	7chateau												5mood														7jolts +PAT;										sporty	
the	-(e)d by	has been V+ing;	into	onto	7prairie dog	7prairie dog is what	7prairie dog	7prairie dog is what	7prairie dog	7prairie dog is what	7prairie dog	7prairie dog is what	7prairie dog	7prairie dog is what	7prairie dog	7prairie dog is what	7prairie dog	7prairie dog is what	7chatter												5moods														7jabs +PAT; by surprise										spotless	
the	-(e)d by	has been V+ing;	into	onto	7predictor	7predictor is (the one) who	7predictor	7predictor is (the one) who is	7predictor	7predictor is who	7predictor	7predictor is who	7predictor	7predictor is who	7predictor	7predictor is (the one) who is	7predictor	7predictor is who	7chestnut												5mosque														7jabs at +PAT;										spotlighted	
the	-(e)d by	has been V+ing;	into	onto	7prey	7prey is what	7prey	7prey is what	7prey	7prey is what	7prey	7prey is what	7prey	7prey is what	7prey	7prey is what	7prey	7prey is what	7chevron												5motel														7lashes against +PAT;&CAUS										springy	
the	-(e)d by	has been V+ing;	into	onto	7prick	7prick is (the one) who	7prick	7prick is (the one) who is	7prick	7prick is who	7prick	7prick is who	7prick	7prick is who	7prick	7prick is (the one) who is	7prick	7prick is who	7chili												5needle exchange														7lashes at +PAT;										spurted	
the	-(e)d by	has been V+ing;	into	onto	7private enterprise	7private enterprise is what	7private enterprise	7private enterprise is what	7private enterprise	7private enterprise is what	7private enterprise	7private enterprise is what	7private enterprise	7private enterprise is what	7private enterprise	7private enterprise is what	7private enterprise	7private enterprise is what	7chili powder												5neighborhood														7mourns for +PAT;										squashed	
the	-(e)d by	has been V+ing;	into	onto	7procrastinator	7procrastinator is (the one) who	7procrastinator	7procrastinator is (the one) who is	7procrastinator	7procrastinator is who	7procrastinator	7procrastinator is who	7procrastinator	7procrastinator is who	7procrastinator	7procrastinator is (the one) who is	7procrastinator	7procrastinator is who	7chimney stack												5neighbourhood														7mows +PAT; down										stationary	
the	-(e)d by	has been V+ing;	into	onto	7prodigy	7prodigy is (the one) who	7prodigy	7prodigy is (the one) who is	7prodigy	7prodigy is who	7prodigy	7prodigy is who	7prodigy	7prodigy is who	7prodigy	7prodigy is (the one) who is	7prodigy	7prodigy is who	7chink in ... armor												5nursing home														7outdistances +PAT;										steadied	
the	-(e)d by	has been V+ing;	into	onto	7progeny	7progeny is (the one) who	7progeny	7progeny is (the one) who is	7progeny	7progeny is who	7progeny	7progeny is who	7progeny	7progeny is who	7progeny	7progeny is (the one) who is	7progeny	7progeny is who	7chisel												5operating system														7outdoes +PAT;										stereotypical	
the	-(e)d by	has been V+ing;	into	onto	7proletarian	7proletarian is (the one) who	7proletarian	7proletarian is (the one) who is	7proletarian	7proletarian is who	7proletarian	7proletarian is who	7proletarian	7proletarian is who	7proletarian	7proletarian is (the one) who is	7proletarian	7proletarian is who	7chopper												5origin														7outnumbers +PAT;										stewed	
the	-(e)d by	has been V+ing;	into	onto	7prophet	7prophet is (the one) who	7prophet	7prophet is (the one) who is	7prophet	7prophet is who	7prophet	7prophet is who	7prophet	7prophet is who	7prophet	7prophet is (the one) who is	7prophet	7prophet is who	7chord												5out tray														7outperforms +PAT;										stocked	
the	-(e)d by	has been V+ing;	into	onto	7proprietor	7proprietor is (the one) who	7proprietor	7proprietor is (the one) who is	7proprietor	7proprietor is who	7proprietor	7proprietor is who	7proprietor	7proprietor is who	7proprietor	7proprietor is (the one) who is	7proprietor	7proprietor is who	7choreograph												5p.e.														7outruns +PAT;										stomped	
the	-(e)d by	has been V+ing;	into	onto	7provocateur	7provocateur is (the one) who	7provocateur	7provocateur is (the one) who is	7provocateur	7provocateur is who	7provocateur	7provocateur is who	7provocateur	7provocateur is who	7provocateur	7provocateur is (the one) who is	7provocateur	7provocateur is who	7choreography												5paradise														7outranks +PAT;										stooped	
the	-(e)d by	has been V+ing;	into	onto	7provost	7provost is (the one) who	7provost	7provost is (the one) who is	7provost	7provost is who	7provost	7provost is who	7provost	7provost is who	7provost	7provost is (the one) who is	7provost	7provost is who	7chromosome												5pickle														7outsmarts +PAT;										stout	
the	-(e)d by	has been V+ing;	into	onto	7psychic	7psychic is (the one) who	7psychic	7psychic is (the one) who is	7psychic	7psychic is who	7psychic	7psychic is who	7psychic	7psychic is who	7psychic	7psychic is (the one) who is	7psychic	7psychic is who	7chronology												5pole position														7overacts +PAT;										stouter	
the	-(e)d by	has been V+ing;	into	onto	7psycho	7psycho is (the one) who	7psycho	7psycho is (the one) who is	7psycho	7psycho is who	7psycho	7psycho is who	7psycho	7psycho is who	7psycho	7psycho is (the one) who is	7psycho	7psycho is who	7churn												5prom														7overeats +PAT;										straightened	
the	-(e)d by	has been V+ing;	into	onto	7pundit	7pundit is (the one) who	7pundit	7pundit is (the one) who is	7pundit	7pundit is who	7pundit	7pundit is who	7pundit	7pundit is who	7pundit	7pundit is (the one) who is	7pundit	7pundit is who	7chute												5stadium														7overbooks +PAT;										strained	
the	-(e)d by	has been V+ing;	into	onto	7putter	7putter is (the one) who	7putter	7putter is (the one) who is	7putter	7putter is who	7putter	7putter is who	7putter	7putter is who	7putter	7putter is (the one) who is	7putter	7putter is who	7cinch												5station wagon														7overburns +PAT;										stranded	
the	-(e)d by	has been V+ing;	into	onto	7quack	7quack is (the one) who	7quack	7quack is (the one) who is	7quack	7quack is who	7quack	7quack is who	7quack	7quack is who	7quack	7quack is (the one) who is	7quack	7quack is who	7cinders												5strip club														7overcharges +PAT;										stranding	
the	-(e)d by	has been V+ing;	into	onto	7quack doctor	7quack doctor is (the one) who	7quack doctor	7quack doctor is (the one) who is	7quack doctor	7quack doctor is who	7quack doctor	7quack doctor is who	7quack doctor	7quack doctor is who	7quack doctor	7quack doctor is (the one) who is	7quack doctor	7quack doctor is who	7cinematography												5student union														7overdoes +PAT;										strapped	
the	-(e)d by	has been V+ing;	into	onto	7radiologist	7radiologist is (the one) who	7radiologist	7radiologist is (the one) who is	7radiologist	7radiologist is who	7radiologist	7radiologist is who	7radiologist	7radiologist is who	7radiologist	7radiologist is (the one) who is	7radiologist	7radiologist is who	7circuit												5studio apartment														7overemphasizes +PAT;										strapped in	
the	-(e)d by	has been V+ing;	into	onto	7rapist	7rapist is (the one) who	7rapist	7rapist is (the one) who is	7rapist	7rapist is who	7rapist	7rapist is who	7rapist	7rapist is who	7rapist	7rapist is (the one) who is	7rapist	7rapist is who	7circuit breaker												5studio audience														7overflies +PAT;										strayed	
the	-(e)d by	has been V+ing;	into	onto	7rascal	7rascal is (the one) who	7rascal	7rascal is (the one) who is	7rascal	7rascal is who	7rascal	7rascal is who	7rascal	7rascal is who	7rascal	7rascal is (the one) who is	7rascal	7rascal is who	7circuit training												5studio flat														7overflows with +PAT;										streaked	
the	-(e)d by	has been V+ing;	into	onto	7raven	7raven is what	7raven	7raven is what	7raven	7raven is what	7raven	7raven is what	7raven	7raven is what	7raven	7raven is what	7raven	7raven is what	7circuitry												5studio														7overflows +PAT;										strolled	
the	-(e)d by	has been V+ing;	into	onto	7raver	7raver is (the one) who	7raver	7raver is (the one) who is	7raver	7raver is who	7raver	7raver is who	7raver	7raver is who	7raver	7raver is (the one) who is	7raver	7raver is who	7cirrhosis												5suburb														7overhangs +PAT;										stubbed	
the	-(e)d by	has been V+ing;	into	onto	7reaper	7reaper is (the one) who	7reaper	7reaper is (the one) who is	7reaper	7reaper is who	7reaper	7reaper is who	7reaper	7reaper is who	7reaper	7reaper is (the one) who is	7reaper	7reaper is who	7cirrhosis of the liver												5talent contest														7overhears +PAT;										stubbly	
the	-(e)d by	has been V+ing;	into	onto	7recapitalizer	7recapitalizer is (the one) who	7recapitalizer	7recapitalizer is (the one) who is	7recapitalizer	7recapitalizer is who	7recapitalizer	7recapitalizer is who	7recapitalizer	7recapitalizer is who	7recapitalizer	7recapitalizer is (the one) who is	7recapitalizer	7recapitalizer is who	7citadel												5territory														7overpopulates +PAT;										stuffier	
the	-(e)d by	has been V+ing;	into	onto	7recognizer	7recognizer is (the one) who	7recognizer	7recognizer is (the one) who is	7recognizer	7recognizer is who	7recognizer	7recognizer is who	7recognizer	7recognizer is who	7recognizer	7recognizer is (the one) who is	7recognizer	7recognizer is who	7citizenry												5zone														7overpowers +PAT;										stuffy	
the	-(e)d by	has been V+ing;	into	onto	7refiner	7refiner is (the one) who	7refiner	7refiner is (the one) who is	7refiner	7refiner is who	7refiner	7refiner is who	7refiner	7refiner is who	7refiner	7refiner is (the one) who is	7refiner	7refiner is who	7civics																										7overruns +PAT;										stumped	
the	-(e)d by	has been V+ing;	into	onto	7refinery	7refinery is what	7refinery	7refinery is what	7refinery	7refinery is what	7refinery	7refinery is what	7refinery	7refinery is what	7refinery	7refinery is what	7refinery	7refinery is what	7civil disobedience																										7overuses +PAT;										stupendous	
the	-(e)d by	has been V+ing;	into	onto	7reinforcement	7reinforcement is (the one) who	7reinforcement	7reinforcement is (the one) who is	7reinforcement	7reinforcement is who	7reinforcement	7reinforcement is who	7reinforcement	7reinforcement is who	7reinforcement	7reinforcement is (the one) who is	7reinforcement	7reinforcement is who	7civil engineering																										7overwhelms +PAT;										sturdier	
the	-(e)d by	has been V+ing;	into	onto	7reorganizer	7reorganizer is (the one) who	7reorganizer	7reorganizer is (the one) who is	7reorganizer	7reorganizer is who	7reorganizer	7reorganizer is who	7reorganizer	7reorganizer is who	7reorganizer	7reorganizer is (the one) who is	7reorganizer	7reorganizer is who	7civil law																										7overworks +PAT;										sturdy	
the	-(e)d by	has been V+ing;	into	onto	7reptile	7reptile is what	7reptile	7reptile is what	7reptile	7reptile is what	7reptile	7reptile is what	7reptile	7reptile is what	7reptile	7reptile is what	7reptile	7reptile is what	7civil liberty																										7oxygenates +PAT;										stylish	
the	-(e)d by	has been V+ing;	into	onto	7republican	7republican is (the one) who	7republican	7republican is (the one) who is	7republican	7republican is who	7republican	7republican is who	7republican	7republican is who	7republican	7republican is (the one) who is	7republican	7republican is who	7civil list																										7pokes at +PAT;										stymied	
the	-(e)d by	has been V+ing;	into	onto	7resident	7resident is (the one) who	7resident	7resident is (the one) who is	7resident	7resident is who	7resident	7resident is who	7resident	7resident is who	7resident	7resident is (the one) who is	7resident	7resident is who	7civil rights																										7pokes fun at +PAT;										subordinated	
the	-(e)d by	has been V+ing;	into	onto	7rhinoceros	7rhinoceros is what	7rhinoceros	7rhinoceros is what	7rhinoceros	7rhinoceros is what	7rhinoceros	7rhinoceros is what	7rhinoceros	7rhinoceros is what	7rhinoceros	7rhinoceros is what	7rhinoceros	7rhinoceros is what	7civil service																										7profiles +PAT;										subverted	
the	-(e)d by	has been V+ing;	into	onto	7robin	7robin is what	7robin	7robin is what	7robin	7robin is what	7robin	7robin is what	7robin	7robin is what	7robin	7robin is what	7robin	7robin is what	7civil war																										7rears +PAT;										sugary	
the	-(e)d by	has been V+ing;	into	onto	7rodent	7rodent is what	7rodent	7rodent is what	7rodent	7rodent is what	7rodent	7rodent is what	7rodent	7rodent is what	7rodent	7rodent is what	7rodent	7rodent is what	7civility																										7reroutes CAUS;										summoned	
the	-(e)d by	has been V+ing;	into	onto	7royal highness	7royal highness is (the one) who	7royal highness	7royal highness is (the one) who is	7royal highness	7royal highness is who	7royal highness	7royal highness is who	7royal highness	7royal highness is who	7royal highness	7royal highness is (the one) who is	7royal highness	7royal highness is who	7clarification																										7restrains +PAT;										sunken without a trace	
the	-(e)d by	has been V+ing;	into	onto	7saboteur	7saboteur is (the one) who	7saboteur	7saboteur is (the one) who is	7saboteur	7saboteur is who	7saboteur	7saboteur is who	7saboteur	7saboteur is who	7saboteur	7saboteur is (the one) who is	7saboteur	7saboteur is who	7clarinet																										7rides roughshod over +PAT;										sunken	
the	-(e)d by	has been V+ing;	into	onto	7saint	7saint is (the one) who	7saint	7saint is (the one) who is	7saint	7saint is who	7saint	7saint is who	7saint	7saint is who	7saint	7saint is (the one) who is	7saint	7saint is who	7clause																										7runs +PAT; ragged											
the	-(e)d by	has been V+ing;	into	onto	7salmon	7salmon is what	7salmon	7salmon is what	7salmon	7salmon is what	7salmon	7salmon is what	7salmon	7salmon is what	7salmon	7salmon is what	7salmon	7salmon is what	7cleat																										7scans +LOC; for +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7sander	7sander is (the one) who	7sander	7sander is (the one) who is	7sander	7sander is who	7sander	7sander is who	7sander	7sander is who	7sander	7sander is (the one) who is	7sander	7sander is who	7clinch																										7scans +THM; for +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7scallop	7scallop is what	7scallop	7scallop is what	7scallop	7scallop is what	7scallop	7scallop is what	7scallop	7scallop is what	7scallop	7scallop is what	7scallop	7scallop is what	7clog																										7scorns +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7scrambler	7scrambler is (the one) who	7scrambler	7scrambler is (the one) who is	7scrambler	7scrambler is who	7scrambler	7scrambler is who	7scrambler	7scrambler is who	7scrambler	7scrambler is (the one) who is	7scrambler	7scrambler is who	7closeness																										7scorns +PAT as +PRED;											
the	-(e)d by	has been V+ing;	into	onto	7sculptor	7sculptor is (the one) who	7sculptor	7sculptor is (the one) who is	7sculptor	7sculptor is who	7sculptor	7sculptor is who	7sculptor	7sculptor is who	7sculptor	7sculptor is (the one) who is	7sculptor	7sculptor is who	7clot																										7shields +PAT; from											
the	-(e)d by	has been V+ing;	into	onto	7sea urchin	7sea urchin is what	7sea urchin	7sea urchin is what	7sea urchin	7sea urchin is what	7sea urchin	7sea urchin is what	7sea urchin	7sea urchin is what	7sea urchin	7sea urchin is what	7sea urchin	7sea urchin is what	7clothes peg																										7slaps +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7seaman	7seaman is (the one) who	7seaman	7seaman is (the one) who is	7seaman	7seaman is who	7seaman	7seaman is who	7seaman	7seaman is who	7seaman	7seaman is (the one) who is	7seaman	7seaman is who	7cloud cuckoo land																										7slaughters +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7second lieutenant	7second lieutenant is (the one) who	7second lieutenant	7second lieutenant is (the one) who is	7second lieutenant	7second lieutenant is who	7second lieutenant	7second lieutenant is who	7second lieutenant	7second lieutenant is who	7second lieutenant	7second lieutenant is (the one) who is	7second lieutenant	7second lieutenant is who	7clout																										7slays +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7sergeant	7sergeant is (the one) who	7sergeant	7sergeant is (the one) who is	7sergeant	7sergeant is who	7sergeant	7sergeant is who	7sergeant	7sergeant is who	7sergeant	7sergeant is (the one) who is	7sergeant	7sergeant is who	7cloven hooves																										7snoops on +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7sergeant major	7sergeant major is (the one) who	7sergeant major	7sergeant major is (the one) who is	7sergeant major	7sergeant major is who	7sergeant major	7sergeant major is who	7sergeant major	7sergeant major is who	7sergeant major	7sergeant major is (the one) who is	7sergeant major	7sergeant major is who	7clover																										7snubs +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7sermon	7sermon is (the one) who	7sermon	7sermon is (the one) who is	7sermon	7sermon is who	7sermon	7sermon is who	7sermon	7sermon is who	7sermon	7sermon is (the one) who is	7sermon	7sermon is who	7clubby																										7stereotypes											
the	-(e)d by	has been V+ing;	into	onto	7she	7she is (the one) who	7she	7she is (the one) who is	7she	7she is who	7she	7she is who	7she	7she is who	7her	7she is (the one) who is	7she	7she is who	7clueless																										7subdues +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7sheriff	7sheriff is (the one) who	7sheriff	7sheriff is (the one) who is	7sheriff	7sheriff is who	7sheriff	7sheriff is who	7sheriff	7sheriff is who	7sheriff	7sheriff is (the one) who is	7sheriff	7sheriff is who	7cluster																										7subordinates +PAT; to											
the	-(e)d by	has been V+ing;	into	onto	7silkworm	7silkworm is (the one) who	7silkworm	7silkworm is (the one) who is	7silkworm	7silkworm is who	7silkworm	7silkworm is who	7silkworm	7silkworm is who	7silkworm	7silkworm is (the one) who is	7silkworm	7silkworm is who	7coagulation																										7typecasts +PAT;											
the	-(e)d by	has been V+ing;	into	onto	7singer songwriter	7singer songwriter is (the one) who	7singer songwriter	7singer songwriter is (the one) who is	7singer songwriter	7singer songwriter is who	7singer songwriter	7singer songwriter is who	7singer songwriter	7singer songwriter is who	7singer songwriter	7singer songwriter is (the one) who is	7singer songwriter	7singer songwriter is who	7coal tar																																					
the	-(e)d by	has been V+ing;	into	onto	7slayer	7slayer is (the one) who	7slayer	7slayer is (the one) who is	7slayer	7slayer is who	7slayer	7slayer is who	7slayer	7slayer is who	7slayer	7slayer is (the one) who is	7slayer	7slayer is who	7coaster																																					
the	-(e)d by	has been V+ing;	into	onto	7slug	7slug is what	7slug	7slug is what	7slug	7slug is what	7slug	7slug is what	7slug	7slug is what	7slug	7slug is what	7slug	7slug is what	7coastline																																					
the	-(e)d by	has been V+ing;	into	onto	7snitch	7snitch is (the one) who	7snitch	7snitch is (the one) who is	7snitch	7snitch is who	7snitch	7snitch is who	7snitch	7snitch is who	7snitch	7snitch is (the one) who is	7snitch	7snitch is who	7cob																																					
the	-(e)d by	has been V+ing;	into	onto	7songwriter	7songwriter is (the one) who	7songwriter	7songwriter is (the one) who is	7songwriter	7songwriter is who	7songwriter	7songwriter is who	7songwriter	7songwriter is who	7songwriter	7songwriter is (the one) who is	7songwriter	7songwriter is who	7cocoon																																					
the	-(e)d by	has been V+ing;	into	onto	7sorority	7sorority is (the one) who	7sorority	7sorority is (the one) who is	7sorority	7sorority is who	7sorority	7sorority is who	7sorority	7sorority is who	7sorority	7sorority is (the one) who is	7sorority	7sorority is who	7code of conduct																																					
the	-(e)d by	has been V+ing;	into	onto	7specialist	7specialist is (the one) who	7specialist	7specialist is (the one) who is	7specialist	7specialist is who	7specialist	7specialist is who	7specialist	7specialist is who	7specialist	7specialist is (the one) who is	7specialist	7specialist is who	7coexistence																																					
the	-(e)d by	has been V+ing;	into	onto	7spectator	7spectator is (the one) who	7spectator	7spectator is (the one) who is	7spectator	7spectator is who	7spectator	7spectator is who	7spectator	7spectator is who	7spectator	7spectator is (the one) who is	7spectator	7spectator is who	7coherences																																					
the	-(e)d by	has been V+ing;	into	onto	7sportswoman	7sportswoman is (the one) who	7sportswoman	7sportswoman is (the one) who is	7sportswoman	7sportswoman is who	7sportswoman	7sportswoman is who	7sportswoman	7sportswoman is who	7sportswoman	7sportswoman is (the one) who is	7sportswoman	7sportswoman is who	7coil																																					
the	-(e)d by	has been V+ing;	into	onto	7sprinter	7sprinter is (the one) who	7sprinter	7sprinter is (the one) who is	7sprinter	7sprinter is who	7sprinter	7sprinter is who	7sprinter	7sprinter is who	7sprinter	7sprinter is (the one) who is	7sprinter	7sprinter is who	7cold storage																																					
the	-(e)d by	has been V+ing;	into	onto	7staff sergeant	7staff sergeant is (the one) who	7staff sergeant	7staff sergeant is (the one) who is	7staff sergeant	7staff sergeant is who	7staff sergeant	7staff sergeant is who	7staff sergeant	7staff sergeant is who	7staff sergeant	7staff sergeant is (the one) who is	7staff sergeant	7staff sergeant is who	7collage																																					
the	-(e)d by	has been V+ing;	into	onto	7staffer	7staffer is (the one) who	7staffer	7staffer is (the one) who is	7staffer	7staffer is who	7staffer	7staffer is who	7staffer	7staffer is who	7staffer	7staffer is (the one) who is	7staffer	7staffer is who	7cologne																																					
the	-(e)d by	has been V+ing;	into	onto	7stag	7stag is what	7stag	7stag is what	7stag	7stag is what	7stag	7stag is what	7stag	7stag is what	7stag	7stag is what	7stag	7stag is what	7colonial																																					
