THE	BY	HASBEEN	INTO	ONTO	AGT	AGTFOC	BENREC	BENFOC	CAUSAGT	CAUSAGTFOC	COM	COMFOC	EXP	EXPFOC	PAT	PATFOC	PRED	PREDFOC	THM	TID_ON	TID_AT	TID_IN	TID_BY	TID_UNTIL	TID_FREQ	TID_DUR	TID_PT	EXT	EXT_CAUS	LOC_AT	LOC_IN	LOC_ON	LOC	LOCFOC	ACT	ACT_LOC	ACT_CAUS	STAT	ERG	STAT_BODY	STAT_THAT	STAT_TO	STAT_BEN	STAT_CAUS_BENFOC	STAT_CAUS	BEN_STAT_CAUS	PRED_STAT_CAUS	STAT_COM	COMPLEX_CAUS	STAT_EXP	STAT_CAUS_EXP	FINSTAT_CAUS	FINSTAT_PRED_DESC	FINSTAT_AGT	FINSTAT_THM_DESC	FINSTAT_EXP
the	-(e)d by	has been V+ing;	into	onto	7advertiser	7advertiser is (the one) who	7advertiser	7advertiser is (the one) who is	7advertiser	7advertiser is who	7advertiser	7advertiser is who	7advertiser	7advertiser is who	7advertiser	7advertiser is (the one) who is	7advertiser	7advertiser is who	7accession	on the eighth	at 2:30	in 24 hours	by 1pm	until 1pm	hourly	for 24 hours	11am	7has no backbone	7precipitates +THM;	7hangout	7autumn equinox	7glacier	7hangout	7hangout is where	7browses	7drops anchor in +LOC;	7hauls +THM; to +LOC;	7bids	7crunches	7limps	7it galls +EXP;+CAUS; that	7enthuses about	7discriminates against +BENREC;		7blurs +THM;	7discriminates against +BENREC;		7conspires against +COM;		overhears +PAT;		unwholesome	carnivorous	gross	backhanded	depressed
the	-(e)d by	has been V+ing;	into	onto	7agent provocateur	7agent provocateur is (the one) who	7agent provocateur	7agent provocateur is (the one) who	7agent provocateur	7agent provocateur is (the one) who	7agent provocateur	7agent provocateur is (the one) who	7agent provocateur	7agent provocateur is (the one) who	7agent provocateur	7agent provocateur is (the one) who	7agent provocateur	7agent provocateur is (the one) who	7accompaniment	on the eleventh	at 2pm	in 3 hours	by 2:30	until 2:30	less	for 3 hours	11pm	7has the decency	7rescinds +THM;	7jetty	7bazaar	7gondola	7jetty	7jetty is where	7bucks	7drops anchor at +LOC;	7hauls up +THM;	7boos	7derails	7pants	7mandates that	7enthuses over	7disparages +BENREC;		7broadens +THM;	7disparages +BENREC;		7counsels +COM;		oversees		lulling	chubbier	heroic	banned from	gay
the	-(e)d by	has been V+ing;	into	onto	7aggressor	7aggressor is (the one) who	7aggressor	7aggressor is (the one) who is	7aggressor	7aggressor is who	7aggressor	7aggressor is who	7aggressor	7aggressor is who	7aggressor	7aggressor is (the one) who is	7aggressor	7aggressor is who	7accomplishment		at 3:30	in 3 minutes	by 2pm	until 2pm	Mondays	for 3 minutes	12 hours ago	7has the sense of proportion	7rustles +THM; up	7joint stock company	7beauty parlour	7gramophone	7joint stock company	7joint stock company is where	7butts in	7filters in +LOC;	7hauls +THM; up +LOC;	7boogies	7deviates	7psyches up	7marvels that	7enthuses	7escorts +BENREC;		7calibrates +THM;	7escorts +BENREC;		7disbands		oversees +THM;			chubbiest	horrid	banned	giddy
the	-(e)d by	has been V+ing;	into	onto	7alien	7alien is (the one) who	7alien	7alien is (the one) who is	7alien	7alien is who	7alien	7alien is who	7alien	7alien is who	7alien	7alien is (the one) who is	7alien	7alien is who	7accordion	on the fifteenth	at 3pm	in 3 years	by 3:30	until 3:30	monthlies	for 3 years	12:30	7looms large	7rustles up +THM;	7juvenile court	7blast furnace	7grandstand	7juvenile court	7juvenile court is where	7butts out	7flops +LOC;	7hauls +THM; +LOC;	7booms out	7discolors	7puffs	7moans that	7loathes	7falls prey to +BENREC;		7carries +DET; torch of +THM;	7falls prey to +BENREC;		7delegates +COM; +THM;		oversees +PAT;			chubby	hostile	barbaric	gross
the	-(e)d by	has been V+ing;	into	onto	7alligator	7alligator is (the one) who	7alligator	7alligator is (the one) who is	7alligator	7alligator is who	7alligator	7alligator is who	7alligator	7alligator is who	7alligator	7alligator is (the one) who is	7alligator	7alligator is who	7acne	on the fifth	at 4:30	in 30 minutes	by 3pm	until 3pm	mostly	for 30 minutes	12pm	7looms +LOC;	7subdivides into +THM;	7lakeside	7bnb	7grapevine	7lakeside	7lakeside is where	7cambers	7funnels +LOC;	7hauls +THM;	7brings up the rear	7discontinues	7puffs out	7mumbles that	7mourns for	7gives priority to +BENREC;		7categorizes +THM;	7gives priority to +BENREC;		7delegates +COM;		perceives +THM; as +THM;			comical	idiotic	barren	heartened by
the	-(e)d by	has been V+ing;	into	onto	7alma mater	7alma mater is (the one) who	7alma mater	7alma mater is (the one) who is	7alma mater	7alma mater is who	7alma mater	7alma mater is who	7alma mater	7alma mater is who	7alma mater	7alma mater is (the one) who is	7alma mater	7alma mater is who	7acorn		at 4pm	in 4 hours	by 4:30	until 4:30	never	for 4 hours	15 minutes ago	7looms up	7subdivides +THM; into +THM;	7mecca	7bowel	7gratings	7mecca	7mecca is where	7coasts along	7gallops +LOC;	7hounds out +THM;	7broods	7escalates	7puffs up	7notifies +BENREC; that	7mourns	7hounds +BENREC;		7chants +THM;	7hounds +BENREC;		7fraternizes with +COM;		perceives +PRED; as +PRED;			credit worthy	indifferent	beneficial	heartened that
the	-(e)d by	has been V+ing;	into	onto	7almighty god	7almighty god is (the one) who	7almighty god	7almighty god is (the one) who is	7almighty god	7almighty god is who	7almighty god	7almighty god is who	7almighty god	7almighty god is who	7almighty god	7almighty god is (the one) who is	7almighty god	7almighty god is who	7actualities	on the fiftieth	at 5:30	in 4 minutes	by 4pm	until 4pm	nightly	for 4 minutes	1pm	7looms	7substitutes +THM; for +THM;	7mooring	7boxer ring	7grazing	7mooring	7mooring is where	7coasts	7gusts +LOC;	7plows +THM; into +PAT;	7bums around	7fizzes	7pulsates	7overemphasizes that	7marvels at	7inherits +THM; from +BENREC;		7churns +THM; out	7inherits +THM; from +BENREC;		7mingles with +COM;		savors +THM;			daintier	indignant	benevolent	heartened
the	-(e)d by	has been V+ing;	into	onto	7anchor men	7anchor men is (the one) who	7anchor men	7anchor men is (the one) who is	7anchor men	7anchor men is who	7anchor men	7anchor men is who	7anchor men	7anchor men is who	7anchor men	7anchor men is (the one) who is	7anchor men	7anchor men is who	7acumen	on the fortieth	at 5pm	in 4 years	by 5:30	until 5:30	often	for 4 years	2 hours ago	7outlives its usefulness	7substitutes for +THM;	7north pole	7butchery	7hob	7north pole	7north pole is where	7comes out of the woodwork	7hails from +LOC;	7lathers +THM; +LOC;	7comes out of the woodwork	7fizzles to +FINSTAT;	7quacks	7overhears that	7pesters +BENREC;	7jeers at +BENREC;		7clasps +THM;	7jeers at +BENREC;		7salutes +COM;		thrills at +THM;			daintiest	inflexible	blasting	indifferent
the	-(e)d by	has been V+ing;	into	onto	7anchor woman	7anchor woman is (the one) who	7anchor woman	7anchor woman is (the one) who is	7anchor woman	7anchor woman is who	7anchor woman	7anchor woman is who	7anchor woman	7anchor woman is who	7anchor woman	7anchor woman is (the one) who is	7anchor woman	7anchor woman is who	7adaptability	on the fourteenth	at 6:30	in 5 hours	by 5pm	until 5pm	once	for 5 hours	2 minutes ago	7outlives	7substitutes +THM;	7orphanage	7canal	7inset	7orphanage	7orphanage is where	7commutes	7hovers between +LOC; and +LOC;	7lobs +THM;	7chants	7flakes off	7quivers with +INST;	7perceives that	7resents	7mediates between +BENREC;		7clinches +THM;	7mediates between +BENREC;		7salutes one another		witnesses			dazzling	inhumane	blazing	indignant
the	-(e)d by	has been V+ing;	into	onto	7anchorman	7anchorman is (the one) who	7anchorman	7anchorman is (the one) who is	7anchorman	7anchorman is who	7anchorman	7anchorman is who	7anchorman	7anchorman is who	7anchorman	7anchorman is (the one) who is	7anchorman	7anchorman is who	7adequacy	on the fourth	at 6pm	in 5 minutes	by 6:30	until 6:30	only	for 5 minutes	2 years ago	7parallels	7sustains +THM;	7place settings	7canteen	7isle	7place setting	7place setting is where	7darts	7hunkers down on +LOC;	7lodges +THM; +LOC;	7chatters	7flakes	7quivers	7pleads that	7startles	7mingles with +BENREC;		7clings onto +THM;	7mingles with +BENREC;		7salutes each other		witnesses +THM;			destitute	jolly	blistered	intoxicated
